id,name,sports_type,sports_category,image_id,created_by,updated_by
f095e09c-82c5-472a-8a67-94f4dc414810,FOOTBALL,OUTDOOR,TEAM,ea2e1e4d-43e5-4220-a64f-c5cde7eb42c4,janarthanan,janarthanan
f095e09c-82c5-472a-8a67-94f4dc414862,BASKETBALL,INDOOR,TEAM,ea2e1e4d-43e5-4220-a64f-c5cde7eb42c4,janarthanan,janarthanan
f095e09c-82c5-472a-8a67-94f4dc414863,TENNIS,OUTDOOR,INDIVIDUAL,ea2e1e4d-43e5-4220-a64f-c5cde7eb42c4,janarthanan,janarthanan
f095e09c-82c5-472a-8a67-94f4dc414864,CRICKET,OUTDOOR,TEAM,ea2e1e4d-43e5-4220-a64f-c5cde7eb42c4,janarthanan,janarthanan
f095e09c-82c5-472a-8a67-94f4dc414865,BASEBALL,OUTDOOR,TEAM,ea2e1e4d-43e5-4220-a64f-c5cde7eb42c4,janarthanan,janarthanan
f095e09c-82c5-472a-8a67-94f4dc414866,TABLE TENNIS,INDOOR,INDIVIDUAL,ea2e1e4d-43e5-4220-a64f-c5cde7eb42c4,janarthanan,janarthanan
f095e09c-82c5-472a-8a67-94f4dc414867,BADMINTON,INDOOR,INDIVIDUAL,ea2e1e4d-43e5-4220-a64f-c5cde7eb42c4,janarthanan,janarthanan
f095e09c-82c5-472a-8a67-94f4dc414868,HOCKEY,OUTDOOR,TEAM,ea2e1e4d-43e5-4220-a64f-c5cde7eb42c4,janarthanan,janarthanan
f095e09c-82c5-472a-8a67-94f4dc414869,GOLF,OUTDOOR,INDIVIDUAL,ea2e1e4d-43e5-4220-a64f-c5cde7eb42c4,janarthanan,janarthanan



